Row,Column,Value
34,14,-0.00374418758427731
34,15,-0.00374418758427731
34,16,-0.00374418758427731
34,17,0.00102479565626502
34,18,-0.00374418758427731
34,19,0.00102479565626502
34,20,-0.00472382146409646
34,21,0.00256136209108685
34,22,0.00256136209108685
34,23,0.00256136209108685
34,24,-0.0154125847858655
34,25,-0.0154125847858655
34,26,-0.13070239844329
34,27,5.14730685546109e-05
34,28,-0.0323162187090035
34,29,0
34,31,0
34,32,0.00143714840854853
34,33,0.0012032070987475
34,34,0.926113936646253
35,1,-0.00148816422663271
35,5,-0.000525195951932231
35,6,-0.0012064639751849
35,7,-0.398271953625074
35,8,0.00347082419187114
35,9,-0.000499003763398608
35,10,-0.0022896161689929
35,11,-0.000502442931954275
35,12,-0.000502442931954275
35,13,-0.404737911326609
35,14,-0.000502442931954275
35,15,-0.000502442931954275
35,16,-0.000502442931954275
35,17,-0.000658844571213261
35,18,-0.000502442931954275
35,19,-0.000658844571213261
35,20,0.000459247852547417
35,21,-0.00119635778601527
35,22,-0.00119635778601527
35,23,-0.00119635778601527
35,24,-0.00265623701747453
35,25,-0.00265623701747453
35,26,0.0050058436882618
35,27,-0.00175425235247012
35,28,0.00702584852716376
35,29,0
35,31,0
35,32,-0.00143371329387392
35,33,-0.00165420905716599
35,34,0.00506417617407279
35,35,1.03418623383333
36,1,-0.000677375014752782
36,5,-0.00103423238804074
36,6,0.123920804198997
36,7,0.0301538352846573
36,8,0.0604683938177773
36,9,0.013925552088886
36,10,0.0709409727681995
36,11,0.00199761001237996
36,12,0.00199761001237996
36,13,-0.389755214591474
36,14,0.00199761001237996
36,15,0.00199761001237996
36,16,0.00199761001237996
36,17,0.00272241844409981
36,18,0.00199761001237996
36,19,0.00272241844409981
36,20,0.0124587453393036
36,21,-0.0100301521968357
36,22,-0.0100301521968357
36,23,-0.0100301521968357
36,24,-0.00197782716311495
36,25,-0.00197782716311495
36,26,0.00203200727362889
36,27,0.00221310843670705
36,28,0.00266109767832948
36,29,0
36,31,0
36,32,-0.00114426392762508
36,33,-0.0306014728394979
36,34,0.00204432356721867
36,35,-0.00202395200826411
36,36,1.02051599048645
37,1,-0.000394713834973094
37,5,-0.000114696740490858
37,6,-0.3627547255499
37,7,0.00811724234967449
37,8,0.0769015427371823
37,9,0.00231147936166552
37,10,0.112839294796669
37,11,-0.000192333378210415
37,12,-0.000192333378210415
37,13,0.0454877072599037
37,14,-0.000192333378210415
37,15,-0.000192333378210415
37,16,-0.000192333378210415
